,Gender,Education,AI_Usage,Healthcare,Healthcare_rating,Finance,Finance_rating,Hiring,Hiring_rating,Education,Education_rating,Service,Service_rating,Age
66,Male,Bachelor,Daily,No,1,Yes,3,Yes,5,Yes,5,Yes,4,27
67,Male,Bachelor,Daily,No,1,Yes,4,Yes,5,Yes,5,Yes,4,20
68,Female,Master,Daily,No,1,No,1,Maybe,3,Yes,5,Yes,5,28
69,Female,Bachelor,Daily,No,1,No,2,No,2,Yes,3,Yes,2,22
70,Female,Bachelor,Daily,Maybe,3,Yes,5,Yes,5,Yes,4,Maybe,3,21
71,Female,Bachelor,Daily,Yes,3,No,1,No,1,Yes,4,Yes,3,22
72,Female,Master,Daily,No,1,No,1,Yes,5,Yes,5,Yes,5,29
73,Male,HSC,Daily,No,1,Yes,4,No,1,Maybe,3,Yes,4,22
74,Male,HSC,Daily,No,3,No,3,Maybe,5,Maybe,5,Yes,5,20
75,Male,HSC,Daily,No,1,Maybe,3,Yes,5,Yes,5,Yes,5,21
76,Male,Bachelor,Weekly- A few times,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,31
77,Male,Bachelor,Weekly- A few times,Maybe,1,Maybe,1,Maybe,3,Maybe,3,Maybe,4,22
78,Male,Bachelor,Never,Yes,3,Maybe,4,Yes,3,No,2,Maybe,2,29
79,Female,HSC,Never,Maybe,2,Maybe,2,Maybe,3,Yes,3,Yes,3,22
80,Male,HSC,Never,No,2,No,2,Yes,1,Yes,3,Yes,2,21
81,Male,HSC,Weekly- A few times,Maybe,3,Yes,3,Maybe,3,Yes,2,Yes,2,21
82,Male,Bachelor,Daily,Maybe,3,No,1,Yes,4,Yes,4,Maybe,3,19
83,Male,HSC,Daily,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,21
84,Female,Bachelor,Daily,No,3,Maybe,2,No,2,Yes,1,Maybe,1,19
85,Male,HSC,Monthly- A few times,Maybe,3,Maybe,3,Yes,3,Yes,3,Yes,2,20
86,Male,HSC,Daily,Yes,4,Yes,4,Yes,4,Yes,4,No,4,21
87,Female,Bachelor,Daily,No,4,Maybe,2,No,3,Yes,1,Maybe,3,21
88,Male,HSC,Daily,Yes,5,Yes,5,Yes,1,Yes,5,Yes,5,21
89,Male,Bachelor,Daily,No,4,Maybe,2,No,3,Yes,1,Maybe,3,21
90,Male,HSC,Never,Maybe,3,Maybe,3,Maybe,3,Yes,2,Maybe,4,21
91,Male,HSC,Weekly- A few times,No,1,No,1,No,1,Maybe,2,Yes,5,21
92,Male,HSC,Daily,Yes,3,Maybe,3,Maybe,3,Yes,5,Maybe,3,25
93,Male,HSC,Weekly- A few times,Yes,5,Yes,3,Maybe,3,Yes,5,Maybe,3,24
94,Male,Bachelor,Daily,Maybe,3,No,2,No,2,Yes,4,Yes,3,20
95,Male,HSC,Weekly- A few times,No,1,Maybe,3,Yes,3,Maybe,2,Yes,2,22
96,Male,Bachelor,Monthly- A few times,Maybe,3,Yes,4,Yes,4,Yes,4,Yes,5,21
97,Male,Bachelor,Weekly- A few times,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,20
98,Female,Bachelor,Weekly- A few times,No,5,Maybe,2,Maybe,2,Yes,3,Yes,2,22
99,Male,HSC,Weekly- A few times,No,3,Maybe,3,No,3,Maybe,3,Maybe,3,22
100,Male,HSC,Daily,Yes,1,Yes,2,Yes,1,Yes,1,Yes,1,32
101,Male,HSC,Daily,No,1,No,1,Yes,4,Yes,4,Yes,4,20
102,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,18
103,Male,HSC,Daily,Maybe,1,No,1,Yes,3,No,2,Maybe,3,21
104,Male,HSC,Daily,No,1,Maybe,2,Yes,4,Maybe,3,Maybe,3,19
105,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,21
106,Female,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,18
107,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,21
108,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,20
109,Female,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,19
110,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,21
111,Male,HSC,Weekly- A few times,No,1,No,2,Yes,4,Maybe,3,Maybe,3,20
112,Female,HSC,Daily,No,1,No,1,Yes,4,Maybe,2,Maybe,3,20
113,Female,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,20
114,Male,HSC,Daily,No,1,No,1,No,4,Maybe,3,Maybe,3,21
115,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,21
116,Male,HSC,Daily,Maybe,1,Maybe,1,Yes,3,Maybe,3,Maybe,3,21
117,Female,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,20
118,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,20
119,Male,HSC,Daily,No,1,No,1,Yes,4,Yes,1,Maybe,3,21
120,Male,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,21
121,Male,HSC,Daily,Maybe,1,Maybe,1,Yes,4,Maybe,3,Maybe,3,22
122,Male,HSC,Weekly- A few times,No,1,No,1,Maybe,3,Maybe,3,Maybe,3,20
123,Male,Bachelor,Daily,No,1,Maybe,3,Maybe,3,Maybe,3,Maybe,3,19
124,Male,HSC,Daily,No,2,No,3,Maybe,2,Maybe,2,Maybe,3,20
125,Female,HSC,Daily,No,1,No,1,Yes,4,Maybe,3,Maybe,3,19
126,Male,HSC,Daily,No,1,No,1,Maybe,2,Maybe,3,Maybe,3,21
127,Female,Master,Daily,No,1,Yes,4,Yes,4,Maybe,3,No,1,29
128,Male,Master,Daily,No,1,Maybe,3,Maybe,3,No,1,Yes,4,28
129,Male,Master,Daily,No,1,Maybe,3,Maybe,3,No,1,Yes,5,30
130,Male,HSC,Daily,Yes,3,Maybe,3,No,3,Yes,3,Yes,3,19
131,Male,Bachelor,Daily,No,1,Yes,1,Yes,1,Yes,2,Yes,1,22
132,Male,HSC,Daily,No,3,Maybe,3,Maybe,1,No,1,No,1,20
133,Male,HSC,Daily,Maybe,1,Yes,1,Maybe,1,Maybe,1,Maybe,1,22
134,Male,Bachelor,Monthly- A few times,Maybe,3,Maybe,3,Yes,4,Yes,3,Yes,3,21
135,Male,HSC,Daily,Maybe,3,Maybe,3,Yes,4,Maybe,4,Maybe,3,21
136,Male,HSC,Weekly- A few times,Maybe,3,Maybe,3,Yes,5,Maybe,3,No,1,21
137,Female,Master,Daily,Maybe,3,Maybe,3,Yes,4,Maybe,3,Yes,4,28
138,Male,HSC,Weekly- A few times,Maybe,3,Maybe,3,Yes,4,Yes,3,Yes,4,21
139,Male,HSC,Daily,Maybe,1,Maybe,1,Yes,1,Yes,1,Yes,1,23
140,Male,HSC,Weekly- A few times,Maybe,3,Maybe,3,Maybe,2,Yes,5,Maybe,3,21
141,Male,HSC,Never,No,1,No,1,Yes,4,No,1,Yes,4,21
142,Female,HSC,Daily,Maybe,3,Maybe,3,Yes,4,Maybe,3,Yes,4,20
143,Female,HSC,Daily,Yes,1,Yes,1,Yes,1,Maybe,1,Maybe,1,18
144,Male,Bachelor,Daily,No,2,Maybe,3,Yes,4,Maybe,3,Maybe,3,20
145,Male,Bachelor,Daily,Maybe,3,Maybe,3,Yes,5,Maybe,3,Yes,4,25
146,Female,HSC,Daily,Maybe,3,Maybe,3,Yes,4,Maybe,2,Yes,3,22
147,Male,HSC,Weekly- A few times,No,2,Maybe,3,Yes,1,Maybe,4,Maybe,3,21
148,Male,HSC,Weekly- A few times,Maybe,3,Maybe,3,Maybe,4,Maybe,4,Yes,4,22
149,Male,Bachelor,Daily,Yes,4,Maybe,3,Maybe,3,Yes,5,Maybe,3,21
150,Male,HSC,Weekly- A few times,No,2,Yes,2,Yes,3,Yes,3,Yes,3,21
151,Male,Bachelor,Daily,Maybe,3,Yes,3,Yes,4,Yes,4,Yes,4,21
152,Male,Bachelor,Daily,Maybe,3,Yes,3,Maybe,2,Yes,3,Yes,3,22
153,Male,HSC,Daily,Maybe,4,Yes,4,Yes,4,Yes,5,Yes,4,35
154,Male,Bachelor,Daily,No,1,Maybe,1,No,1,Yes,3,Yes,3,20
155,Female,HSC,Daily,No,1,Maybe,2,Maybe,1,Maybe,3,Yes,2,21
156,Female,HSC,Weekly- A few times,Yes,4,Yes,4,Yes,5,Yes,5,Yes,5,23
157,Male,Master,Daily,No,2,No,2,Maybe,3,Yes,4,Yes,5,30
158,Female,Master,Monthly- A few times,No,1,Yes,2,Yes,3,Maybe,3,Yes,4,28
159,Female,SSC,Monthly- A few times,Yes,4,Yes,3,Yes,4,Yes,4,Yes,4,19
160,Male,Master,Daily,No,3,No,2,Maybe,4,Yes,4,Yes,4,29
161,Female,HSC,Daily,Maybe,3,Maybe,3,Yes,4,Yes,3,Yes,4,23
162,Female,Master,Daily,No,1,No,1,No,1,Yes,3,Yes,3,26
163,Female,Bachelor,Daily,No,1,Maybe,2,No,1,Yes,4,Yes,4,29
164,Female,Bachelor,Daily,No,1,No,1,No,1,No,1,No,1,26
